"","x"
"319","Tgm3"
"320","Snrpb"
"321","Ptpra"
"322","Atrn"
"323","1700037H04Rik"
"324","Cenpb"
"325","Rnf24"
"326","Smox"
"327","Slc23a2"
"328","Pcna"
"329","AU019990"
"330","Tmx4"
"331","Jag1"
"332","Snrpb2"
"333","Dstn"
"334","Rrbp1"
"335","Polr3f"
"336","Dtd1"
"337","Rin2"
"338","Crnkl1"
"339","Xrn2"
"340","Thbd"
"341","Cd93"
"342","Zfp120"
"343","Apmap"
"344","Fkbp1a"
"345","Fam110a"
"346","Srxn1"
"347","Csnk2a1"
"348","Id1"
"349","Bcl2l1"
"350","Plagl2"
"351","Commd7"
"352","Eif2s2"
"353","Dynlrb1"
"354","Map1lc3a"
"355","Trp53inp2"
"356","Acss2"
"357","Gss"
"358","BC029722"
"359","Cep250"
"360","Romo1"
"361","Phf20"
"362","Tgif2"
"363","Gm14286"
"364","Ctnnbl1"
"365","Rprd1b"
"366","Tgm2"
"367","Lbp"
"368","Top1"
"369","Ift52"
"370","2900093K20Rik"
"371","Ttpal"
"372","Ywhab"
"373","Pabpc1l"
"374","Mmp9"
"375","Zmynd8"
"376","Arfgef2"
"377","Stau1"
"378","Znfx1"
"379","Snai1"
"380","Cebpb"
"381","A530013C23Rik"
"382","Pfdn4"
"383","Cass4"
"384","Zbp1"
"385","Gnas"
"386","Ctsz"
"387","Sycp2"
"388","Cables2"
"389","Dido1"
"390","Slc17a9"
"391","Ppdpf"
"392","Helz2"
"393","Rgs19"
"394","Pex2"
"395","Mrps28"
"396","Fabp5"
"397","Impa1"
"398","Rbis"
"399","Armc1"
"400","Hltf"
"401","Gyg"
"402","Nceh1"
"403","Fndc3b"
"404","Rpl22l1"
"405","Gpr160"
"406","Phc3"
"407","Skil"
"408","Ndufb5"
"409","Ttc14"
"410","Fxr1"
"411","Dnajc19"
"412","Dcun1d1"
"413","Anxa5"
"414","Hspa4l"
"415","Abhd18"
"416","Larp1b"
"417","Jade1"
"418","Slc7a11"
"419","Gm6209"
"420","Noct"
"421","Ndufc1"
"422","Mgst2"
"423","Maml3"
"424","Commd2"
"425","Tsc22d2"
"426","Med12l"
"427","P2ry12"
"428","Mbnl1"
"429","Rap2b"
"430","Dhx36"
"431","Tiparp"
"432","Ccnl1"
"433","Schip1"
"434","Smc4"
"435","Golim4"
"436","Rapgef2"
"437","Fnip2"
"438","Etfdh"
"439","Tlr2"
"440","Mnd1"
"441","Rps3a1"
"442","Etv3"
"443","Hdgf"
"444","Mrpl24"
"445","Naxe"
"446","Pmf1"
"447","Lamtor2"
"448","Ssr2"
"449","Syt11"
"450","Rusc1"
"451","Slc50a1"
"452","Gm15417"
"453","Shc1"
"454","Pmvk"
"455","Ints3"
"456","Snapin"
"457","Chtop"
"458","S100a1"
"459","S100a13"
"460","S100a6"
"461","S100a7a"
"462","S100a10"
"463","Gm43774"
"464","Gabpb2"
"465","Prune1"
"466","Setdb1"
"467","Ctss"
"468","BC028528"
"469","Anp32e"
"470","Otud7b"
"471","Polr3c"
"472","Fmo5"
"473","Prkab2"
"474","Tent5c"
"475","Man1a2"
"476","Atp1a1"
"477","Tspan2"
"478","Trim33"
"479","Ptpn22"
"480","Rsbn1"
"481","Magi3"
"482","Gm42702"
"483","Rhoc"
"484","Mov10"
"485","Gm43329"
"486","Chil5"
"487","Chil3"
"488","2010016I18Rik"
"489","Lrif1"
"490","Strip1"
"491","Ahcyl1"
"492","Csf1"
"493","Sort1"
"494","Sars"
"495","Fam102b"
"496","Gm19391"
"497","Slc25a24"
"498","Rnpc3"
"499","A930005H10Rik"
"500","Slc30a7"
"501","Cdc14a"
"502","Sass6"
"503","Frrs1"
"504","Gclm"
"505","Dnttip2"
"506","1810037I17Rik"
"507","Usp53"
"508","Snhg8"
"509","Ugt8a"
"510","Larp7"
"511","Fam241a"
"512","Rpl34"
"513","Sgms2"
"514","Aimp1"
"515","Ints12"
"516","Tet2"
"517","Nfkb1"
"518","Gm31243"
"519","Bank1"
"520","H2afz"
