k,naive_mse,cancer_mse,jaccard
0.0,0.00013137487810697536,8.231515402393187e-05,0.25
0.1,0.00010941458419856941,0.00014090664704620941,0.3333333333333333
0.2,0.00011048987535137897,0.00023960157025267363,0.40476190476190477
0.3,0.00011048987535137897,0.00023960157025267363,0.40476190476190477
0.4,0.00011048987535137897,0.0002470512211621025,0.42857142857142855
0.5,0.00010949937671976854,0.00020646988605494055,0.47619047619047616
0.6,0.00010949937671976854,0.00020646988605494055,0.47619047619047616
0.7,0.00010949937671976854,0.00020646988605494055,0.47619047619047616
0.8,0.00015416603945943026,0.00027496434043025836,0.5526315789473685
0.9,0.00015416603945943026,0.00027496434043025836,0.5526315789473685
1.0,0.00015416603945943026,0.0001721837598793543,0.5789473684210527
1.1,0.00016238700411537845,0.00017086200873842183,0.575
1.2,0.00016140238715145082,0.00012419134304917588,0.6097560975609756
1.3,0.00018689944303509548,0.00019664272047174405,0.6153846153846154
1.4,0.00018689944303509548,0.00023139353868591465,0.6486486486486487
1.5,0.00018666922374068002,0.00023433909390306853,0.6842105263157895
1.6,0.00018666922374068002,0.00028690758973021197,0.7222222222222222
1.7,0.00018666922374068002,0.0005126037997689003,0.7428571428571429
1.8,0.00018666922374068002,0.0005422525551322733,0.7647058823529411
1.9,0.00018991104160106777,0.0005424690648082938,0.84375
2.1,0.00022581380740546895,0.0005219116563246905,0.84375
2.2,0.00022581380740546895,0.0005219116563246905,0.84375
2.3,0.00022581380740546895,0.0005219116563246905,0.84375
2.4,0.00022581380740546895,0.0005219116563246905,0.84375
2.5,0.00022581380740546895,0.0005219116563246905,0.84375
2.6,0.0002275443572049907,0.0005219116563246905,0.875
2.7,0.0002275443572049907,0.0005219116563246905,0.875
2.8,0.0002275443572049907,0.0005219116563246905,0.875
2.9,0.0002275443572049907,0.0005219116563246905,0.875
