"pair","per","perturbed_mean"
"Egr1_Cebpb",0,0.722151568401909
"Egr1_Cebpb",0.1,0.746996175395692
"Egr1_Cebpb",0.2,0.815231823351605
"Egr1_Cebpb",0.3,0.866316942446927
"Egr1_Cebpb",0.4,0.882647331634568
"Egr1_Cebpb",0.5,0.886112024700649
"Egr1_Cebpb",0.6,0.886460822277669
"Egr1_Cebpb",0.7,0.886460822277669
"Egr1_Cebpb",0.8,0.886460822277669
"Egr1_Cebpb",0.9,0.886460822277669
"Egr1_Cebpb",1,0.886460822277669
"Egr1_Nfkb2",0,0.722500288647741
"Egr1_Nfkb2",0.1,0.738868136078576
"Egr1_Nfkb2",0.2,0.778761569559931
"Egr1_Nfkb2",0.3,0.832905487077245
"Egr1_Nfkb2",0.4,0.865103293827644
"Egr1_Nfkb2",0.5,0.872219292555127
"Egr1_Nfkb2",0.6,0.877947721543085
"Egr1_Nfkb2",0.7,0.882795161015843
"Egr1_Nfkb2",0.8,0.884337581041034
"Egr1_Nfkb2",0.9,0.88510850831835
"Egr1_Nfkb2",1,0.885423449547621
"Ets1_Ets1",0,0.72238508180847
"Ets1_Ets1",0.1,0.722367602266688
"Ets1_Ets1",0.2,0.721753551674002
"Ets1_Ets1",0.3,0.721739147537312
"Ets1_Ets1",0.4,0.721386057805453
"Ets1_Ets1",0.5,0.719890758319881
"Ets1_Ets1",0.6,0.715376700070303
"Ets1_Ets1",0.7,0.677002523802993
"Ets1_Ets1",0.8,0.562581107412406
"Ets1_Ets1",0.9,0.445651751965975
"Ets1_Ets1",1,0.366078246263128
"Ets1_Fos",0,0.722073627067839
"Ets1_Fos",0.1,0.723955949000625
"Ets1_Fos",0.2,0.726538267255854
"Ets1_Fos",0.3,0.728365989744221
"Ets1_Fos",0.4,0.729605870980265
"Ets1_Fos",0.5,0.730273613542658
"Ets1_Fos",0.6,0.730523763670774
"Ets1_Fos",0.7,0.730980347458682
"Ets1_Fos",0.8,0.730739573587048
"Ets1_Fos",0.9,0.731898272296471
"Ets1_Fos",1,0.73219929339758
