"","x"
"317","Tmem87b"
"318","Slc20a1"
"319","Il1b"
"320","Il1bos"
"321","4930402H24Rik"
"322","Atrn"
"323","1700037H04Rik"
"324","Cenpb"
"325","Cdc25b"
"326","Rnf24"
"327","Smox"
"328","Prnp"
"329","Pcna"
"330","AU019990"
"331","Crls1"
"332","Tmx4"
"333","Macrod2"
"334","Snrpb2"
"335","Dstn"
"336","Polr3f"
"337","Sec23b"
"338","Dtd1"
"339","Rin2"
"340","Crnkl1"
"341","Xrn2"
"342","Zfp120"
"343","Apmap"
"344","Fkbp1a"
"345","Fam110a"
"346","Srxn1"
"347","Csnk2a1"
"348","Id1"
"349","Bcl2l1"
"350","Hck"
"351","Tm9sf4"
"352","Plagl2"
"353","Kif3b"
"354","Pxmp4"
"355","Eif2s2"
"356","Dynlrb1"
"357","Map1lc3a"
"358","Trp53inp2"
"359","Acss2"
"360","Cep250"
"361","Romo1"
"362","Phf20"
"363","Tgif2"
"364","5430405H02Rik"
"365","Rpn2"
"366","Tgm2"
"367","Lbp"
"368","Slc32a1"
"369","Ppp1r16b"
"370","Top1"
"371","2900093K20Rik"
"372","Pkig"
"373","Ywhab"
"374","Pabpc1l"
"375","Slpi"
"376","Mmp9"
"377","Elmo2"
"378","Zmynd8"
"379","Ncoa3"
"380","Zfas1"
"381","B4galt5"
"382","Snai1"
"383","Cebpb"
"384","9230111E07Rik"
"385","Pfdn4"
"386","Cass4"
"387","Rbm38"
"388","Zbp1"
"389","Gnas"
"390","Sycp2"
"391","Cables2"
"392","Slc17a9"
"393","Ppdpf"
"394","Helz2"
"395","Rgs19"
"396","Mrps28"
"397","Fabp5"
"398","Impa1"
"399","Gm9733"
"400","Hltf"
"401","Gyg"
"402","Gm43674"
"403","Gm43672"
"404","Nceh1"
"405","Fndc3b"
"406","Pld1"
"407","Rpl22l1"
"408","Skil"
"409","Zfp639"
"410","Ndufb5"
"411","Dnajc19"
"412","Atp11b"
"413","Dcun1d1"
"414","Anxa5"
"415","4932438A13Rik"
"416","Hspa4l"
"417","Abhd18"
"418","Larp1b"
"419","Jade1"
"420","Slc7a11"
"421","Noct"
"422","Ndufc1"
"423","Mgst2"
"424","Mbnl1"
"425","P2ry1"
"426","Rap2b"
"427","Dhx36"
"428","Gmps"
"429","Ssr3"
"430","Tiparp"
"431","Ccnl1"
"432","Lxn"
"433","Mfsd1"
"434","Schip1"
"435","Il12a"
"436","Smc4"
"437","Golim4"
"438","Rapgef2"
"439","Fnip2"
"440","Tlr2"
"441","Tmem131l"
"442","Mnd1"
"443","Rps3a1"
"444","Fcrl1"
"445","Etv3"
"446","Hdgf"
"447","Smg5"
"448","Pmf1"
"449","Lamtor2"
"450","Rit1"
"451","Syt11"
"452","Fdps"
"453","Krtcap2"
"454","Adam15"
"455","Zbtb7b"
"456","Gm15417"
"457","Shc1"
"458","Pmvk"
"459","Crtc2"
"460","Gatad2b"
"461","Ints3"
"462","S100a1"
"463","S100a13"
"464","S100a6"
"465","S100a7a"
"466","Snx27"
"467","Gm43774"
"468","Psmb4"
"469","Zfp687"
"470","Gabpb2"
"471","Prune1"
"472","Ctss"
"473","Golph3l"
"474","Ecm1"
"475","BC028528"
"476","Bola1"
"477","Gm42743"
"478","Fmo5"
"479","Notch2"
"480","Wdr3"
"481","Tent5c"
"482","Cd101"
"483","Atp1a1"
"484","Slc22a15"
"485","Tspan2"
"486","Nras"
"487","Hipk1"
"488","Dclre1b"
"489","Rsbn1"
"490","Rhoc"
"491","Mov10"
"492","St7l"
"493","Adora3"
"494","Ovgp1"
"495","Chil5"
"496","Chil3"
"497","2010016I18Rik"
"498","Dennd2d"
"499","Lrif1"
"500","Csf1"
"501","Clcc1"
"502","Gm19391"
"503","Slc25a24"
"504","Rnpc3"
"505","Cdc14a"
"506","Sass6"
"507","Mfsd14a"
"508","Agl"
"509","Frrs1"
"510","Gclm"
"511","1810037I17Rik"
"512","Usp53"
"513","Snhg8"
"514","Ugt8a"
"515","Camk2d"
"516","Alpk1"
"517","Fam241a"
"518","Casp6"
"519","Rpl34"
"520","Sgms2"
"521","Aimp1"
"522","Ints12"
"523","Ppa2"
"524","Tet2"
"525","Ppp3ca"
"526","H2afz"
"527","Dnajb14"
"528","Metap1"
"529","Pdlim5"
"530","Gbp7"
"531","Gbp3"
"532","Gbp2b"
"533","Gbp2"
"534","Lmo4"
"535","Gm43445"
"536","Selenof"
"537","Spata1"
"538","Rpf1"
"539","Prkacb"
"540","Fubp1"
"541","Usp33"
"542","Zzz3"
"543","Pigk"
"544","Acadm"
"545","Zranb2"
"546","Wls"
"547","Tgs1"
"548","Rps20"
"549","Chchd7"
"550","Gm11808"
"551","Chd7"
"552","Plekhf2"
"553","Gm11827"
"554","Otud6b"
"555","Pip4p2"
"556","Cpne3"
"557","Wwp1"
"558","Ggh"
"559","Ufl1"
"560","Casp8ap2"
"561","Lyrm2"
"562","Akirin2"
"563","Orc3"
"564","Smim8"
"565","Zfp292"
"566","Ddx58"
"567","Topors"
"568","Smim27"
"569","Aptx"
"570","Dnaja1"
"571","B4galt1"
"572","Ube2r2"
"573","Dcaf12"
"574","Galt"
"575","Vcp"
"576","Fam214b"
"577","Tln1"
"578","Reck"
"579","Tomm5"
"580","Dcaf10"
"581","Tstd2"
"582","Ncbp1"
"583","Xpa"
"584","Anp32b"
"585","Tbc1d2"
"586","Gm568"
"587","Nr4a3"
"588","Rnf20"
"589","Abca1"
"590","Elp1"
"591","Ecpas"
"592","Gng10"
"593","Ugcg"
"594","Slc31a2"
"595","Fkbp15"
"596","Slc31a1"
"597","Ambp"
"598","Orm1"
"599","Tmem268"
"600","Megf9"
"601","Dmac1"
"602","Rps6"
"603","Tusc1"
"604","Jun"
"605","Nfia"
"606","Pgm1"
"607","E130102H24Rik"
"608","Pde4b"
"609","Ssbp3"
"610","Tceanc2"
"611","Magoh"
"612","Czib"
"613","Cpt2"
"614","Scp2"
"615","Zyg11b"
"616","Tut4"
"617","Nrd1"
"618","Spata6"
"619","Cmpk1"
"620","Lrrc41"
"621","Nasp"
"622","Prdx1"
"623","Tesk2"
"624","Plk3"
"625","Rps8"
"626","Rnf220"
"627","Gm12840"
"628","Elovl1"
"629","Slc2a1"
"630","Ybx1"
"631","Zmpste24"
"632","Macf1"
"633","Mycbp"
"634","Fhl3"
"635","Sf3a3"
"636","Inpp5b"
"637","Gnl2"
"638","Zc3h12a"
"639","Mrps15"
"640","Oscp1"
"641","Thrap3"
"642","Ago4"
"643","AU040320"
"644","Ak2"
"645","Rnf19b"
"646","Marcksl1"
"647","Txlna"
"648","Pef1"
"649","Tinagl1"
"650","Zcchc17"
"651","Pum1"
"652","Ythdf2"
"653","Snhg3"
"654","Atpif1"
"655","Ptafr"
"656","Sytl1"
"657","Slc9a1"
"658","Nudc"
"659","Rps6ka1"
"660","Hmgn2"
"661","Lin28a"
"662","Cd52"
"663","Sh3bgrl3"
"664","Paqr7"
"665","Selenon"
"666","Man1c1"
"667","Ldlrap1"
"668","Ifnlr1"
"669","Gale"
"670","Lypla2"
"671","Rpl11"
"672","Id3"
"673","E2f2"
"674","Hnrnpr"
"675","Wnt4"
"676","Eif4g3"
"677","Ddost"
"678","Otud3"
"679","Mrto4"
"680","Ubr4"
"681","Padi4"
"682","Atp13a2"
"683","Spen"
"684","Ddi2"
"685","Prdm2"
"686","Dhrs3"
"687","Vps13d"
"688","Tnfrsf1b"
"689","Agtrap"
"690","Fbxo6"
"691","Mtor"
"692","Pgd"
"693","Kif1b"
"694","Lzic"
"695","Ctnnbip1"
"696","Slc25a33"
"697","Errfi1"
"698","Park7"
"699","Acot7"
"700","Rpl22"
"701","Kcnab2"
"702","Gnb1"
"703","Cdk11b"
"704","Isg15"
"705","AW011738"
"706","Plekhn1"
"707","Fam133b"
"708","Gatad1"
"709","Krit1"
"710","Akap9"
"711","Cyp51"
"712","Steap4"
"713","Sri"
"714","Crot"
"715","Tmem243"
"716","Dmtf1"
"717","Tmem60"
"718","Rsbn1l"
"719","A630072M18Rik"
"720","Ccdc146"
"721","Fgl2"
"722","Dnajc2"
"723","Srpk2"
"724","Fam126a"
"725","Cdk5"
