"perturbation","baseline_mean","perturbed_mean","mean_shift","abs_mean_shift","rank"
"Cebpb_Jun",0.356477155312452,0.416350801110252,0.0598736457977996,0.0598736457977996,1
"Cebpb_Nfkb2",0.356477155312452,0.41171703671054,0.0552398813980874,0.0552398813980874,2
"Cebpa_Cebpb",0.356477155312452,0.410143071129444,0.0536659158169914,0.0536659158169914,3
"Cebpb_Ctnnb1",0.356477155312452,0.406945776574688,0.0504686212622353,0.0504686212622353,4
"Fos_Cebpa",0.356477155312452,0.406371030985394,0.0498938756729412,0.0498938756729412,5
"Fos_Cebpb",0.356477155312452,0.40269154011467,0.0462143848022173,0.0462143848022173,6
"Cebpb_Stat1",0.356477155312452,0.402068305328125,0.0455911500156724,0.0455911500156724,7
"Fos_Egr1",0.356477155312452,0.400620068723531,0.0441429134110788,0.0441429134110788,8
"Fos_Jun",0.356477155312452,0.40023136096966,0.0437542056572078,0.0437542056572078,9
"Fos_Ctnnb1",0.356477155312452,0.399976755277884,0.0434995999654317,0.0434995999654317,10
"Fos_Nfkb2",0.356477155312452,0.39949098831637,0.0430138330039173,0.0430138330039173,11
"Egr1_Stat1",0.356477155312452,0.398597968797385,0.0421208134849327,0.0421208134849327,12
"Cebpb_Hif1a",0.356477155312452,0.398204484059278,0.0417273287468256,0.0417273287468256,13
"Cebpa_Egr1",0.356477155312452,0.394852928391498,0.0383757730790452,0.0383757730790452,14
"Cebpa_Nfkb2",0.356477155312452,0.389839731725734,0.0333625764132817,0.0333625764132817,15
"Nfkb2_Stat1",0.356477155312452,0.389180590028513,0.0327034347160602,0.0327034347160602,16
"Cebpb_Egr1",0.356477155312452,0.388251573518371,0.0317744182059189,0.0317744182059189,17
"Cebpb",0.356477155312452,0.388221988513737,0.0317448332012841,0.0317448332012841,18
"Cebpb_Ets2",0.356477155312452,0.388221988513737,0.0317448332012841,0.0317448332012841,19
"Cebpb_Per1",0.356477155312452,0.388221988513737,0.0317448332012841,0.0317448332012841,20
"Cebpb_Relb",0.356477155312452,0.388221988513737,0.0317448332012841,0.0317448332012841,21
"Sp3_Cebpb",0.356477155312452,0.388221988513737,0.0317448332012841,0.0317448332012841,22
"Fos_Stat1",0.356477155312452,0.384941116997785,0.0284639616853329,0.0284639616853329,23
"Fos_Hif1a",0.356477155312452,0.384888963029656,0.028411807717203,0.028411807717203,24
"Cebpb_Jund",0.356477155312452,0.384724873592864,0.0282477182804116,0.0282477182804116,25
"Fos_Jund",0.356477155312452,0.382184223060521,0.0257070677480685,0.0257070677480685,26
"Cebpa_Stat1",0.356477155312452,0.378601094742195,0.0221239394297428,0.0221239394297428,27
"Fos",0.356477155312452,0.378353414487072,0.0218762591746195,0.0218762591746195,28
"Fos_Ets2",0.356477155312452,0.378353414487072,0.0218762591746195,0.0218762591746195,29
"Fos_Per1",0.356477155312452,0.378353414487072,0.0218762591746195,0.0218762591746195,30
"Fos_Relb",0.356477155312452,0.378353414487072,0.0218762591746195,0.0218762591746195,31
"Fos_Sp3",0.356477155312452,0.378353414487072,0.0218762591746195,0.0218762591746195,32
"Ctnnb1_Stat1",0.356477155312452,0.372815353298966,0.0163381979865133,0.0163381979865133,33
"Jun_Stat1",0.356477155312452,0.3720826589899,0.0156055036774479,0.0156055036774479,34
"Nfkb2_Ctnnb1",0.356477155312452,0.366126793205029,0.0096496378925765,0.0096496378925765,35
"Cebpa_Ctnnb1",0.356477155312452,0.364788849417717,0.00831169410526461,0.00831169410526461,36
"Fos_Ets1",0.356477155312452,0.364781010287149,0.00830385497469671,0.00830385497469671,37
"Cebpa_Jun",0.356477155312452,0.364620433157306,0.00814327784485369,0.00814327784485369,38
"Jun_Nfkb2",0.356477155312452,0.364388357411811,0.00791120209935819,0.00791120209935819,39
"Hif1a_Stat1",0.356477155312452,0.362865421667412,0.00638826635495987,0.00638826635495987,40
"Jund_Stat1",0.356477155312452,0.362745244662212,0.0062680893497592,0.0062680893497592,41
"Cebpa_Jund",0.356477155312452,0.362049303834407,0.00557214852195492,0.00557214852195492,42
"Cebpa_Hif1a",0.356477155312452,0.360431544270219,0.00395438895776629,0.00395438895776629,43
"Jun_Egr1",0.356477155312452,0.360331787246341,0.00385463193388808,0.00385463193388808,44
"Jund_Nfkb2",0.356477155312452,0.360128964996387,0.0036518096839348,0.0036518096839348,45
"Egr1_Ctnnb1",0.356477155312452,0.359962589861411,0.00348543454895861,0.00348543454895861,46
"Per1_Stat1",0.356477155312452,0.359618027163571,0.00314087185111878,0.00314087185111878,47
"Relb_Stat1",0.356477155312452,0.359618027163571,0.00314087185111878,0.00314087185111878,48
"Sp3_Stat1",0.356477155312452,0.359618027163571,0.00314087185111878,0.00314087185111878,49
"Stat1",0.356477155312452,0.359618027163571,0.00314087185111878,0.00314087185111878,50
"Stat1_Ets2",0.356477155312452,0.359618027163571,0.00314087185111878,0.00314087185111878,51
"Nfkb2_Hif1a",0.356477155312452,0.358644215424777,0.00216706011232404,0.00216706011232404,52
"Egr1_Nfkb2",0.356477155312452,0.358041871290758,0.00156471597830565,0.00156471597830565,53
"Jund_Ctnnb1",0.356477155312452,0.357130517081459,0.000653361769006988,0.000653361769006988,54
"Nfkb2",0.356477155312452,0.356966756190829,0.000489600878376462,0.000489600878376462,55
"Nfkb2_Ets2",0.356477155312452,0.356966756190829,0.000489600878376462,0.000489600878376462,56
"Per1_Nfkb2",0.356477155312452,0.356966756190829,0.000489600878376462,0.000489600878376462,57
"Relb_Nfkb2",0.356477155312452,0.356966756190829,0.000489600878376462,0.000489600878376462,58
"Sp3_Nfkb2",0.356477155312452,0.356966756190829,0.000489600878376462,0.000489600878376462,59
"Cebpa",0.356477155312452,0.356642272041398,0.000165116728945092,0.000165116728945092,60
"Cebpa_Ets2",0.356477155312452,0.356642272041398,0.000165116728945092,0.000165116728945092,61
"Cebpa_Per1",0.356477155312452,0.356642272041398,0.000165116728945092,0.000165116728945092,62
"Cebpa_Relb",0.356477155312452,0.356642272041398,0.000165116728945092,0.000165116728945092,63
"Sp3_Cebpa",0.356477155312452,0.356642272041398,0.000165116728945092,0.000165116728945092,64
"Jun_Jund",0.356477155312452,0.356299821119477,-0.000177334192975387,0.000177334192975387,65
"Egr1_Hif1a",0.356477155312452,0.35459515448999,-0.00188200082246226,0.00188200082246226,66
"Cebpb_Ets1",0.356477155312452,0.353733189222905,-0.00274396608954752,0.00274396608954752,67
"Jund_Egr1",0.356477155312452,0.352706260813778,-0.00377089449867446,0.00377089449867446,68
"Egr1",0.356477155312452,0.351059141189682,-0.00541801412277032,0.00541801412277032,69
"Egr1_Ets2",0.356477155312452,0.351059141189682,-0.00541801412277032,0.00541801412277032,70
"Per1_Egr1",0.356477155312452,0.351059141189682,-0.00541801412277032,0.00541801412277032,71
"Relb_Egr1",0.356477155312452,0.351059141189682,-0.00541801412277032,0.00541801412277032,72
"Sp3_Egr1",0.356477155312452,0.351059141189682,-0.00541801412277032,0.00541801412277032,73
"Jun_Ctnnb1",0.356477155312452,0.348477841719969,-0.00799931359248357,0.00799931359248357,74
"Ctnnb1_Hif1a",0.356477155312452,0.347710407717779,-0.00876674759467344,0.00876674759467344,75
"Ctnnb1",0.356477155312452,0.346501929538033,-0.00997522577441901,0.00997522577441901,76
"Ctnnb1_Ets2",0.356477155312452,0.346501929538033,-0.00997522577441901,0.00997522577441901,77
"Per1_Ctnnb1",0.356477155312452,0.346501929538033,-0.00997522577441901,0.00997522577441901,78
"Relb_Ctnnb1",0.356477155312452,0.346501929538033,-0.00997522577441901,0.00997522577441901,79
"Sp3_Ctnnb1",0.356477155312452,0.346501929538033,-0.00997522577441901,0.00997522577441901,80
"Jun_Hif1a",0.356477155312452,0.346125041262094,-0.0103521140503581,0.0103521140503581,81
"Jun",0.356477155312452,0.345450837397038,-0.0110263179154144,0.0110263179154144,82
"Jun_Ets2",0.356477155312452,0.345450837397038,-0.0110263179154144,0.0110263179154144,83
"Jun_Per1",0.356477155312452,0.345450837397038,-0.0110263179154144,0.0110263179154144,84
"Jun_Relb",0.356477155312452,0.345450837397038,-0.0110263179154144,0.0110263179154144,85
"Sp3_Jun",0.356477155312452,0.345450837397038,-0.0110263179154144,0.0110263179154144,86
"Jund_Hif1a",0.356477155312452,0.345065858696819,-0.0114112966156336,0.0114112966156336,87
"Hif1a",0.356477155312452,0.341022160701746,-0.0154549946107062,0.0154549946107062,88
"Hif1a_Ets2",0.356477155312452,0.341022160701746,-0.0154549946107062,0.0154549946107062,89
"Per1_Hif1a",0.356477155312452,0.341022160701746,-0.0154549946107062,0.0154549946107062,90
"Relb_Hif1a",0.356477155312452,0.341022160701746,-0.0154549946107062,0.0154549946107062,91
"Sp3_Hif1a",0.356477155312452,0.341022160701746,-0.0154549946107062,0.0154549946107062,92
"Jund",0.356477155312452,0.340696314617215,-0.0157808406952377,0.0157808406952377,93
"Jund_Ets2",0.356477155312452,0.340696314617215,-0.0157808406952377,0.0157808406952377,94
"Per1_Jund",0.356477155312452,0.340696314617215,-0.0157808406952377,0.0157808406952377,95
