"seed","total_edges","network","AUPRC_act","AUPRC_inh"
125,27,1,0.668710918710919,0.737471655328798
125,30,1,0.650412858746192,0.732369614512472
125,33,1,0.610477793811127,0.656746031746032
125,36,1,0.569756612936494,0.638358070500928
125,39,1,0.548309098309098,0.624520045172219
125,42,1,0.521111296111296,0.572540554683412
125,27,2,0.601917812579577,0.70110294117647
125,30,2,0.543291722896986,0.687171052631579
125,33,2,0.527957112332112,0.68125
125,36,2,0.522843475968476,0.632332251082251
125,39,2,0.518582112332112,0.60297619047619
125,42,2,0.468412592309651,0.481049679487179
177,27,1,0.644166666666667,0.576388888888889
177,30,1,0.541111111111111,0.444444444444444
177,33,1,0.488095238095238,0.398561507936508
177,36,1,0.418804347826087,0.354897660818713
177,39,1,0.354766483516483,0.322390572390572
177,42,1,0.316648380355277,0.253535353535354
177,27,2,0.664264705882353,0.458608058608059
177,30,2,0.601363826232247,0.384353741496599
177,33,2,0.587579365079365,0.341456582633053
177,36,2,0.519980080306167,0.329072681704261
177,39,2,0.373101898101898,0.314718614718615
177,42,2,0.324892742791046,0.294285714285714
629,27,1,0.507671957671958,0.535185185185185
629,30,1,0.472632015769271,0.44776688453159
629,33,1,0.450573192239859,0.346957671957672
629,36,1,0.370951579284913,0.333321308321308
629,39,1,0.31940667357334,0.321957671957672
629,42,1,0.293237934904601,0.296957671957672
629,27,2,0.746938775510204,0.65489417989418
629,30,2,0.698044217687075,0.575925925925926
629,33,2,0.640040713254999,0.528322911656245
629,36,2,0.481482010053439,0.49368425455382
629,39,2,0.450693156050299,0.378621794871795
629,42,2,0.435912698412698,0.358328338328338
753,27,1,0.58358843537415,0.599047619047619
753,30,1,0.498894557823129,0.581686507936508
753,33,1,0.486989795918367,0.462539682539683
753,36,1,0.446779014636158,0.404693126921388
753,39,1,0.394091984619935,0.386527777777778
753,42,1,0.339614750329036,0.375813492063492
753,27,2,0.586160714285714,0.486085858585859
753,30,2,0.56046626984127,0.47219696969697
753,33,2,0.467364926739927,0.455892621870883
753,36,2,0.459103260869565,0.434015151515152
753,39,2,0.452053571428571,0.41199235949236
753,42,2,0.438883165445665,0.408685481185481
1419,27,1,0.451666666666667,0.870748299319728
1419,30,1,0.420606060606061,0.834750566893424
1419,33,1,0.381378838552752,0.589806547619047
1419,36,1,0.350412087912088,0.495463564213564
1419,39,1,0.350412087912088,0.495463564213564
1419,42,1,0.329336080586081,0.455960185647686
1419,27,2,0.774702380952381,0.466666666666667
1419,30,2,0.617784992784993,0.429166666666667
1419,33,2,0.611534992784993,0.390327380952381
1419,36,2,0.606421356421356,0.335477543290043
1419,39,2,0.451459959793293,0.303909632034632
1419,42,2,0.349803668553669,0.288284632034632
1434,27,1,0.824801587301587,0.586488095238095
1434,30,1,0.819593253968254,0.53468253968254
1434,33,1,0.749570105820106,0.506046176046176
1434,36,1,0.697784391534392,0.493546176046176
1434,39,1,0.681412337662338,0.466050061050061
1434,42,1,0.612555453805454,0.45292008757526
1434,27,2,0.645726495726496,0.680395658263305
1434,30,2,0.5625,0.663367794486216
1434,33,2,0.548774509803922,0.590759379509379
1434,36,2,0.449007936507937,0.544165001665002
1434,39,2,0.401370851370851,0.499380341880342
1434,42,2,0.354556878306878,0.488438697318008
1477,27,1,0.527804042935622,0.630128205128205
1477,30,1,0.475829957079957,0.582738095238095
1477,33,1,0.446494090651699,0.576120448179272
1477,36,1,0.380947106406665,0.429166666666667
1477,39,1,0.37545260091216,0.398484848484848
1477,42,1,0.355013045913781,0.363484848484848
1477,27,2,0.730505952380952,0.777827380952381
1477,30,2,0.618276515151515,0.72652867965368
1477,33,2,0.551719114219114,0.71715367965368
1477,36,2,0.544382157697375,0.675725716011042
1477,39,2,0.442264714452214,0.669856150793651
1477,42,2,0.355842550695492,0.664856150793651
1594,27,1,0.590169552669553,0.455187074829932
1594,30,1,0.509948511084875,0.446258503401361
1594,33,1,0.50518660632297,0.388585434173669
1594,36,1,0.493281844418208,0.315429808286951
1594,39,1,0.474607337107337,0.28675530818388
1594,42,1,0.448584509360371,0.2722681286967
1594,27,2,0.619705988455988,0.531944444444444
1594,30,2,0.578663119288119,0.357142857142857
1594,33,2,0.510870610870611,0.34047619047619
1594,36,2,0.50285779035779,0.288392857142857
1594,39,2,0.477502059721887,0.228505029591986
1594,42,2,0.415517142171554,0.225787638287638
1612,27,1,0.598623136123136,0.84625850340136
1612,30,1,0.547575491435141,0.748969587835134
1612,33,1,0.526374859708193,0.656349206349206
1612,36,1,0.422510822510823,0.628715728715729
1612,39,1,0.387456987456988,0.556400742115028
1612,42,1,0.347990555196438,0.527282241567956
1612,27,2,0.472222222222222,0.692063492063492
1612,30,2,0.403935185185185,0.600892857142857
