"seed","total_edges","jaccard"
125,27,0.565217391304348
125,30,0.44
125,33,0.565217391304348
125,36,0.565217391304348
125,39,0.714285714285714
125,42,0.5
177,27,0.636363636363636
177,30,0.636363636363636
177,33,0.565217391304348
177,36,0.636363636363636
177,39,0.565217391304348
177,42,0.714285714285714
629,27,0.5
629,30,0.714285714285714
629,33,0.565217391304348
629,36,0.714285714285714
629,39,0.714285714285714
629,42,0.714285714285714
753,27,0.714285714285714
753,30,0.636363636363636
753,33,0.565217391304348
753,36,0.714285714285714
753,39,0.714285714285714
753,42,0.894736842105263
1419,27,0.5
1419,30,0.44
1419,33,0.636363636363636
1419,36,0.636363636363636
1419,39,0.714285714285714
1419,42,0.636363636363636
1434,27,0.714285714285714
1434,30,0.714285714285714
1434,33,0.636363636363636
1434,36,0.636363636363636
1434,39,0.636363636363636
1434,42,0.8
1477,27,0.714285714285714
1477,30,0.714285714285714
1477,33,0.714285714285714
1477,36,0.636363636363636
1477,39,0.636363636363636
1477,42,0.565217391304348
1594,27,0.565217391304348
1594,30,0.565217391304348
1594,33,0.565217391304348
1594,36,0.5
1594,39,0.44
1594,42,0.565217391304348
1612,27,0.636363636363636
1612,30,0.714285714285714
1612,33,0.714285714285714
1612,36,0.714285714285714
1612,39,0.636363636363636
1612,42,0.636363636363636
2120,27,0.5
2120,30,0.565217391304348
2120,33,0.636363636363636
2120,36,0.8
2120,39,0.565217391304348
2120,42,0.636363636363636
2569,27,0.8
2569,30,0.636363636363636
2569,33,0.565217391304348
2569,36,0.636363636363636
2569,39,0.565217391304348
2569,42,0.636363636363636
3219,27,0.565217391304348
3219,30,0.636363636363636
3219,33,0.636363636363636
3219,36,0.565217391304348
3219,39,0.714285714285714
3219,42,0.8
3646,27,0.714285714285714
3646,30,0.714285714285714
3646,33,0.714285714285714
3646,36,0.894736842105263
3646,39,0.714285714285714
3646,42,0.636363636363636
4119,27,0.565217391304348
4119,30,0.636363636363636
4119,33,0.636363636363636
4119,36,0.636363636363636
4119,39,0.8
4119,42,0.8
4250,27,0.636363636363636
4250,30,0.565217391304348
4250,33,0.714285714285714
4250,36,0.8
4250,39,0.714285714285714
4250,42,0.8
5042,27,0.636363636363636
5042,30,0.636363636363636
5042,33,0.565217391304348
5042,36,0.714285714285714
5042,39,0.636363636363636
5042,42,0.565217391304348
5236,27,0.565217391304348
5236,30,0.565217391304348
5236,33,0.565217391304348
5236,36,0.8
5236,39,0.565217391304348
5236,42,0.714285714285714
6072,27,0.636363636363636
6072,30,0.636363636363636
6072,33,0.714285714285714
6072,36,0.636363636363636
6072,39,0.565217391304348
6072,42,0.8
6534,27,0.5
6534,30,0.565217391304348
6534,33,0.714285714285714
6534,36,0.714285714285714
6534,39,0.636363636363636
6534,42,0.636363636363636
4510,27,0.636363636363636
4510,30,0.636363636363636
4510,33,0.636363636363636
4510,36,0.714285714285714
4510,39,0.636363636363636
4510,42,0.5
