"seed","total_edges","network","AUPRC","AUROC"
125,27,1,0.781044777990307,0.819444444444444
125,27,2,0.716571547576427,0.833333333333333
125,30,1,0.707842003534223,0.763888888888889
125,30,2,0.600950395732387,0.777777777777778
125,33,1,0.626203686699869,0.791666666666667
125,33,2,0.599073216560106,0.833333333333333
125,36,1,0.552085542692158,0.791666666666667
125,36,2,0.577560752388669,0.816666666666667
125,39,1,0.577586237313191,0.815972222222222
125,39,2,0.54000439145328,0.861111111111111
125,42,1,0.597955179054614,0.813888888888889
125,42,2,0.533730454392127,0.851851851851852
177,27,1,0.815716258603424,0.777777777777778
177,27,2,0.735320723158925,0.833333333333333
177,30,1,0.738922690163369,0.833333333333333
177,30,2,0.683540415549404,0.833333333333333
177,33,1,0.660104679143061,0.796296296296296
177,33,2,0.636083993522186,0.851851851851852
177,36,1,0.590238915864777,0.805555555555556
177,36,2,0.594358709841774,0.840277777777778
177,39,1,0.538174965385492,0.759259259259259
177,39,2,0.590592561240739,0.849206349206349
177,42,1,0.491705174822405,0.770833333333333
177,42,2,0.577617309710288,0.866666666666667
629,27,1,0.787766829117448,0.888888888888889
629,27,2,0.806141546652474,0.916666666666667
629,30,1,0.736393581442924,0.944444444444444
629,30,2,0.771021904371783,0.881944444444444
629,33,1,0.723634231324238,0.939814814814815
629,33,2,0.756501394501462,0.888888888888889
629,36,1,0.657483913255157,0.892857142857143
629,36,2,0.724931540905375,0.944444444444444
629,39,1,0.615531311506902,0.814814814814815
629,39,2,0.684318002409155,0.861111111111111
629,42,1,0.551891884316985,0.729166666666667
629,42,2,0.593460471077387,0.792929292929293
753,27,1,0.798643431926925,0.833333333333333
753,27,2,0.669363682509715,0.916666666666667
753,30,1,0.729714083278661,0.833333333333333
753,30,2,0.6185486354604,0.958333333333333
753,33,1,0.702053859184294,0.842592592592593
753,33,2,0.583538656170247,0.847222222222222
753,36,1,0.685491221524253,0.795138888888889
753,36,2,0.584545674376662,0.842592592592593
753,39,1,0.644807595732158,0.796296296296296
753,39,2,0.533852794544649,0.849206349206349
753,42,1,0.579149542054073,0.811111111111111
753,42,2,0.46148930165444,0.78125
1419,27,1,0.76492579788123,0.916666666666667
1419,27,2,0.66042478763067,0.666666666666667
1419,30,1,0.719662153572337,0.833333333333333
1419,30,2,0.578897386713883,0.722222222222222
1419,33,1,0.637328212757807,0.800925925925926
1419,33,2,0.563206770516481,0.592592592592593
1419,36,1,0.452872988006791,0.740740740740741
1419,36,2,0.607762782899019,0.916666666666667
1419,39,1,0.452872988006791,0.740740740740741
1419,39,2,0.610523353458136,0.829365079365079
1419,42,1,0.484863042253178,0.763888888888889
1419,42,2,0.557158982609293,0.730555555555556
1434,27,1,0.718524904299571,0.666666666666667
1434,27,2,0.780511874545602,0.861111111111111
1434,30,1,0.661387734343549,0.75
1434,30,2,0.726375379604616,0.8125
1434,33,1,0.660969644389079,0.770833333333333
1434,33,2,0.715342213080738,0.844444444444444
1434,36,1,0.635699891768526,0.731481481481482
1434,36,2,0.682818915315334,0.805555555555556
1434,39,1,0.616733146159052,0.729166666666667
1434,39,2,0.641095471135794,0.857638888888889
1434,42,1,0.552510267034008,0.725
1434,42,2,0.59086181753462,0.743827160493827
1477,27,1,0.762253799256087,0.907407407407407
1477,27,2,0.82372241758431,0.916666666666667
1477,30,1,0.725889845448669,0.958333333333333
1477,30,2,0.791847863216486,0.927777777777778
1477,33,1,0.693957580121616,0.861111111111111
1477,33,2,0.809211624957239,0.912037037037037
1477,36,1,0.678570646589712,0.869047619047619
1477,36,2,0.759035579143637,0.891975308641975
1477,39,1,0.65932567814724,0.830246913580247
1477,39,2,0.593356236758322,0.864583333333333
1477,42,1,0.54213257756736,0.762345679012346
1477,42,2,0.548968210686734,0.867283950617284
1594,27,1,0.748842401773727,0.902777777777778
1594,27,2,0.686007121840271,0.722222222222222
1594,30,1,0.667778257252362,0.847222222222222
1594,30,2,0.540970868771178,0.722222222222222
1594,33,1,0.624892141543725,0.798611111111111
1594,33,2,0.537732326441167,0.763888888888889
1594,36,1,0.649059942053269,0.875
1594,36,2,0.515463766798225,0.794444444444445
1594,39,1,0.607303545641478,0.880952380952381
1594,39,2,0.501580480279585,0.836805555555555
1594,42,1,0.557420138041806,0.858333333333333
1594,42,2,0.529737009922768,0.822222222222222
1612,27,1,0.76098214490018,0.805555555555556
1612,27,2,0.73459340049729,0.722222222222222
1612,30,1,0.670532239228817,0.814814814814815
1612,30,2,0.715874418565454,0.888888888888889
1612,33,1,0.591982132563482,0.770833333333333
1612,33,2,0.67899924489998,0.833333333333333
1612,36,1,0.573607882800429,0.75
1612,36,2,0.631479215492498,0.791666666666667
1612,39,1,0.563784630501887,0.813492063492063
1612,39,2,0.598123018995781,0.763888888888889
1612,42,1,0.527532446002274,0.752777777777778
1612,42,2,0.599043494819357,0.772222222222222
2120,27,1,0.815872346392857,0.833333333333333
2120,27,2,0.883715412411233,0.935185185185185
2120,30,1,0.671353532830806,0.796296296296296
2120,30,2,0.76308601486233,0.902777777777778
2120,33,1,0.686981868339262,0.814814814814815
2120,33,2,0.6816109738215,0.95
2120,36,1,0.641684320774939,0.788194444444445
2120,36,2,0.70414122314932,0.939814814814815
2120,39,1,0.615220339301222,0.794444444444445
2120,39,2,0.825845970697998,0.925
2120,42,1,0.560898574373406,0.77020202020202
2120,42,2,0.60780871175608,0.875
2569,27,1,0.748124288596593,0.833333333333333
2569,27,2,0.764899898081716,0.962962962962963
2569,30,1,0.759052453323587,0.87037037037037
2569,30,2,0.736425475673386,0.962962962962963
2569,33,1,0.69270601833058,0.866666666666667
2569,33,2,0.642225222944791,0.895833333333333
2569,36,1,0.62418052834087,0.787037037037037
2569,36,2,0.632055172803182,0.872222222222222
2569,39,1,0.679559118965238,0.854166666666667
2569,39,2,0.578559350189408,0.909722222222222
2569,42,1,0.611167663323213,0.772222222222222
2569,42,2,0.520656719188885,0.79320987654321
3219,27,1,0.788511573721959,0.944444444444444
3219,27,2,0.816436473379626,1
3219,30,1,0.781089154887705,0.898148148148148
3219,30,2,0.7586597729021,0.847222222222222
3219,33,1,0.725949608524135,0.837301587301587
3219,33,2,0.69540561262911,0.861111111111111
3219,36,1,0.660239027367787,0.83641975308642
3219,36,2,0.684446304889853,0.891975308641975
3219,39,1,0.602231743861001,0.833333333333333
3219,39,2,0.698923734681982,0.931818181818182
3219,42,1,0.52578044076059,0.802777777777778
3219,42,2,0.648862121219935,0.900462962962963
3646,27,1,0.70266883238656,0.888888888888889
3646,27,2,0.811738968894766,0.833333333333333
3646,30,1,0.738214367003302,0.916666666666667
3646,30,2,0.797277540328086,0.87962962962963
3646,33,1,0.791924909320038,0.925925925925926
3646,33,2,0.744470441174987,0.877777777777778
3646,36,1,0.789030041549461,0.923611111111111
3646,36,2,0.600398156115993,0.75
3646,39,1,0.716652106939749,0.925925925925926
3646,39,2,0.621000629166211,0.912698412698413
3646,42,1,0.623721238795198,0.873737373737374
3646,42,2,0.613529847883235,0.926767676767677
4119,27,1,0.77115852270651,1
4119,27,2,0.734341107278857,0.944444444444444
4119,30,1,0.692157648852695,1
4119,30,2,0.665300759737973,0.916666666666667
4119,33,1,0.67000659110785,0.847222222222222
4119,33,2,0.594853864875401,0.842592592592592
4119,36,1,0.609989763015548,0.736111111111111
4119,36,2,0.566531774532387,0.875
4119,39,1,0.589074445726231,0.702380952380952
4119,39,2,0.532473800408978,0.856481481481481
4119,42,1,0.61530156577256,0.845679012345679
4119,42,2,0.545314172466392,0.852777777777778
4250,27,1,0.853066247478012,0.777777777777778
4250,27,2,0.753509506501834,0.824074074074074
4250,30,1,0.72780263037616,0.777777777777778
4250,30,2,0.738823079804538,0.884259259259259
4250,33,1,0.689744461060613,0.907407407407407
4250,33,2,0.673671339994355,0.857638888888889
4250,36,1,0.718866805708911,0.888888888888889
4250,36,2,0.673671339994355,0.857638888888889
4250,39,1,0.72257903746198,0.842592592592593
4250,39,2,0.590380405316803,0.817901234567901
4250,42,1,0.623721854835985,0.80050505050505
4250,42,2,0.538278112033768,0.714646464646465
4510,27,1,0.692460552414786,0.861111111111111
4510,27,2,0.73722027716529,0.824074074074074
4510,30,1,0.63515915905647,0.796296296296296
4510,30,2,0.719266010744153,0.844444444444444
4510,33,1,0.592536679958348,0.744444444444444
4510,33,2,0.74024007261418,0.851851851851852
4510,36,1,0.545836141718558,0.797619047619048
4510,36,2,0.682873615669768,0.861111111111111
4510,39,1,0.562247233445799,0.805555555555556
4510,39,2,0.649060593145766,0.822222222222222
4510,42,1,0.596608552013174,0.775462962962963
4510,42,2,0.597902518374121,0.785353535353535
5042,27,1,0.779184504221269,0.805555555555556
5042,27,2,0.775464591542554,0.805555555555556
5042,30,1,0.667142874589886,0.777777777777778
5042,30,2,0.728650182806529,0.819444444444445
5042,33,1,0.572608558489565,0.798611111111111
5042,33,2,0.724915491363563,0.861111111111111
5042,36,1,0.57376027099012,0.805555555555555
5042,36,2,0.679284522022543,0.785714285714286
5042,39,1,0.524314397159915,0.796296296296296
5042,39,2,0.622068333938082,0.774691358024691
5042,42,1,0.464341208303863,0.673611111111111
5042,42,2,0.600161271824805,0.792929292929293
5236,27,1,0.745158328777735,0.875
5236,27,2,0.68094550411352,0.611111111111111
5236,30,1,0.682429724880383,0.898148148148148
5236,30,2,0.618929416811077,0.611111111111111
5236,33,1,0.640745141155462,0.854166666666667
5236,33,2,0.539579142120497,0.694444444444445
5236,36,1,0.612309486083996,0.797619047619048
5236,36,2,0.504532687818688,0.712962962962963
5236,39,1,0.618609766853898,0.895833333333333
5236,39,2,0.534187540427758,0.753968253968254
5236,42,1,0.533335547366196,0.740740740740741
5236,42,2,0.454722968015469,0.677083333333333
6072,27,1,0.795780189670686,0.916666666666667
6072,27,2,0.696527272375689,0.916666666666667
6072,30,1,0.787778598035951,0.909722222222222
6072,30,2,0.647958645803668,0.847222222222222
6072,33,1,0.658560502100836,0.805555555555556
6072,33,2,0.644222106007364,0.845238095238095
6072,36,1,0.596682774140204,0.795138888888889
6072,36,2,0.654074612556755,0.885416666666667
6072,39,1,0.520433390375846,0.725694444444444
6072,39,2,0.595691032690771,0.899305555555556
6072,42,1,0.495239537282641,0.675925925925926
6072,42,2,0.542378977839581,0.802777777777778
6534,27,1,0.672185504983492,0.666666666666667
6534,27,2,0.849336991802942,0.833333333333333
6534,30,1,0.648303665998679,0.694444444444444
