"seed","total_edges","network","AUPRC","AUROC"
125,27,1,0.71475592763273,0.944444444444444
125,30,1,0.71475592763273,0.972222222222222
125,33,1,0.661257440534281,0.972222222222222
125,36,1,0.607853995979723,0.955555555555555
125,39,1,0.607853995979723,0.968253968253968
125,42,1,0.592837421554842,0.922222222222222
125,27,2,0.705862010212845,0.777777777777778
125,30,2,0.647016841196447,0.740740740740741
125,33,2,0.62193912912479,0.740740740740741
125,36,2,0.568463525204595,0.683333333333333
125,39,2,0.526356001346907,0.675925925925926
125,42,2,0.502163712846564,0.701388888888889
177,27,1,0.705766301847438,0.777777777777778
177,30,1,0.607042144811668,0.777777777777778
177,33,1,0.540007315947157,0.694444444444445
177,36,1,0.467342259745953,0.648148148148148
177,39,1,0.423386631416377,0.644444444444444
177,42,1,0.376662305683149,0.644444444444444
177,27,2,0.771587548097537,0.907407407407407
177,30,2,0.735530532453318,0.875
177,33,2,0.709241456203175,0.844444444444444
177,36,2,0.674297149239947,0.817460317460318
177,39,2,0.657814930013298,0.839506172839506
177,42,2,0.637165862026904,0.818181818181818
629,27,1,0.717010772987351,0.944444444444444
629,30,1,0.663892679197117,0.944444444444444
629,33,1,0.603769298098288,0.944444444444445
629,36,1,0.588543361736494,0.87037037037037
629,39,1,0.567739260582857,0.892857142857143
629,42,1,0.477926638440811,0.808641975308642
629,27,2,0.740933324068573,0.777777777777778
629,30,2,0.660363457487546,0.777777777777778
629,33,2,0.627501366317472,0.833333333333333
629,36,2,0.568103251986691,0.833333333333333
629,39,2,0.542233053338775,0.833333333333333
629,42,2,0.516589509161447,0.833333333333333
753,27,1,0.655715907632664,1
753,30,1,0.628039396971846,0.861111111111111
753,33,1,0.603179336306636,0.898148148148148
753,36,1,0.529686491953434,0.854166666666667
753,39,1,0.505484218332794,0.773148148148148
753,42,1,0.442450063188035,0.690972222222222
753,27,2,0.655220771226683,0.611111111111111
753,30,2,0.617976374858657,0.597222222222222
753,33,2,0.59429421797723,0.666666666666667
753,36,2,0.531716725136645,0.633333333333333
753,39,2,0.519854952086716,0.642857142857143
753,42,2,0.508950067909346,0.618055555555556
1419,27,1,0.782900075902796,0.796296296296296
1419,30,1,0.770744957336653,0.794444444444444
1419,33,1,0.619451438094524,0.8
1419,36,1,0.579233097394928,0.757936507936508
1419,39,1,0.579233097394928,0.757936507936508
1419,42,1,0.54536569817268,0.725308641975309
1419,27,2,0.762917172491139,0.666666666666667
1419,30,2,0.670499527427089,0.703703703703704
1419,33,2,0.60162597748512,0.694444444444444
1419,36,2,0.562568867706187,0.694444444444444
1419,39,2,0.554890167327959,0.731481481481481
1419,42,2,0.536642379069293,0.722222222222222
1434,27,1,0.819920087518252,0.944444444444444
1434,30,1,0.803869796519112,0.877777777777778
1434,33,1,0.749398040343679,0.877777777777778
1434,36,1,0.669662590160945,0.861111111111111
1434,39,1,0.649294891327114,0.857142857142857
1434,42,1,0.611325198867303,0.777777777777778
1434,27,2,0.722275820748585,0.805555555555556
1434,30,2,0.665035563807774,0.833333333333333
1434,33,2,0.649545507435804,0.847222222222222
1434,36,2,0.579955737221534,0.814814814814815
1434,39,2,0.560458377324189,0.825396825396825
1434,42,2,0.477978717611034,0.791666666666667
1477,27,1,0.79909635853164,0.833333333333333
1477,30,1,0.758536372240477,0.814814814814815
1477,33,1,0.75295076168441,0.805555555555556
1477,36,1,0.728389428160785,0.787037037037037
1477,39,1,0.716828646143701,0.777777777777778
1477,42,1,0.711086449747324,0.788888888888889
1477,27,2,0.920298224888691,0.981481481481481
1477,30,2,0.811031618121857,0.933333333333333
1477,33,2,0.793541087657052,0.907407407407407
1477,36,2,0.72757368045147,0.851851851851852
1477,39,2,0.57855854685932,0.828282828282828
1477,42,2,0.56893415790704,0.816239316239316
1594,27,1,0.817054043510062,0.944444444444444
1594,30,1,0.754149886617561,0.958333333333333
1594,33,1,0.752626508035359,0.955555555555555
1594,36,1,0.631990608713078,0.920634920634921
1594,39,1,0.595817670889995,0.888888888888889
1594,42,1,0.549756577666059,0.836111111111111
1594,27,2,0.786468787815656,0.888888888888889
1594,30,2,0.636093886733728,0.805555555555556
1594,33,2,0.584696813842584,0.796296296296296
1594,36,2,0.543762377941624,0.708333333333333
1594,39,2,0.510533107280183,0.603174603174603
1594,42,2,0.505122630897322,0.611111111111111
1612,27,1,0.582639503646985,0.666666666666667
1612,30,1,0.549159559615655,0.703703703703704
1612,33,1,0.489276984524634,0.722222222222222
1612,36,1,0.447141153749259,0.677777777777778
1612,39,1,0.413077371719292,0.677777777777778
1612,42,1,0.406553024036263,0.706349206349206
1612,27,2,0.797026598012351,0.833333333333333
1612,30,2,0.697888342670397,0.805555555555556
1612,33,2,0.647864860735328,0.766666666666667
1612,36,2,0.566923257852189,0.761904761904762
1612,39,2,0.521593509704382,0.770833333333333
1612,42,2,0.514425299826483,0.780555555555556
2120,27,1,0.734941671003052,1
2120,30,1,0.685900450743613,0.824074074074074
2120,33,1,0.666812846040218,0.794444444444444
2120,36,1,0.639546259301313,0.829365079365079
2120,39,1,0.601796083884799,0.809027777777778
2120,42,1,0.591588758066424,0.802777777777778
2120,27,2,0.761024738421892,0.722222222222222
2120,30,2,0.739094314849642,0.888888888888889
2120,33,2,0.72282582311523,0.916666666666667
2120,36,2,0.647731651281521,0.855555555555556
2120,39,2,0.550174215216807,0.798611111111111
2120,42,2,0.474194684788368,0.798611111111111
2569,27,1,0.656804582474255,0.666666666666667
2569,30,1,0.615598338655838,0.777777777777778
2569,33,1,0.551267749248709,0.666666666666667
2569,36,1,0.524730340290693,0.652777777777778
2569,39,1,0.511278897193691,0.685185185185185
2569,42,1,0.446895323042701,0.642857142857143
2569,27,2,0.69096735794512,0.611111111111111
2569,30,2,0.678630564229271,0.611111111111111
2569,33,2,0.549212089515797,0.583333333333333
2569,36,2,0.515397015312256,0.555555555555556
2569,39,2,0.478453054004568,0.574074074074074
2569,42,2,0.467748001048888,0.597222222222222
3219,27,1,0.782064395097906,0.763888888888889
3219,30,1,0.65065555864167,0.842592592592593
3219,33,1,0.598677556246344,0.784722222222222
3219,36,1,0.586109214876535,0.763888888888889
